asin,scrape_date,current_price,currency,price_7d_ma,price_7d_volatility,price_momentum,comp_median_price,comp_avg_price,comp_min_price,comp_max_price,comp_count,competitors_below,comp_pressure_score,suggested_price,price_position
B08N5WRWNW,2026-02-12,30.12,USD,30.12,,,27.43,27.836000000000002,24.56,32.24,5,4,0.8,27.43,above_market
B08N5WRWNW,2026-02-13,30.15,USD,30.134999999999998,0.021213203435595972,,26.97,27.344,24.16,31.81,5,4,0.8,26.97,above_market
B08N5WRWNW,2026-02-14,30.13,USD,30.133333333333336,0.01527525231651914,,29.05,28.542,24.25,31.11,5,3,0.6,29.05,at_market
B08N5WRWNW,2026-02-15,29.97,USD,30.0925,0.0826135582092924,,33.16,32.146,27.41,35.14,5,1,0.2,33.16,below_market
B08N5WRWNW,2026-02-16,29.85,USD,30.044,0.12992305415129385,,29.42,30.316000000000003,24.19,35.84,5,3,0.6,29.42,at_market
B08N5WRWNW,2026-02-17,30.05,USD,30.045,0.11623252556836243,,27.18,28.448,24.61,35.33,5,4,0.8,27.18,above_market
B08N5WRWNW,2026-02-18,30.4,USD,30.095714285714283,0.17106111411394603,,30.04,31.060000000000002,27.34,34.3,5,3,0.6,30.04,at_market
B08N5WRWNW,2026-02-19,30.11,USD,30.094285714285714,0.1708661408683353,-0.00033200531208499307,26.39,27.552,24.36,32.15,5,4,0.8,26.39,above_market
B08N5WRWNW,2026-02-20,29.87,USD,30.054285714285715,0.187603939444879,-0.00928689883913758,29.59,29.910000000000004,26.56,34.22,5,3,0.6,29.59,at_market
B08N5WRWNW,2026-02-21,29.91,USD,30.02285714285714,0.19119922295120007,-0.0073016926651178204,32.95,30.851999999999997,25.56,35.23,5,2,0.4,32.95,below_market
B08N5WRWNW,2026-02-22,29.84,USD,30.004285714285714,0.20313026549951818,-0.004337671004337684,30.22,28.808,25.95,31.35,5,2,0.4,30.22,at_market
B08N5WRWNW,2026-02-23,29.74,USD,29.988571428571426,0.22056205260112044,-0.00368509212730328,26.87,26.438,24.39,27.34,5,5,1.0,26.87,above_market
B08N5WRWNW,2026-02-24,29.82,USD,29.955714285714286,0.2269256223859236,-0.007653910149750476,33.07,30.958000000000006,24.29,35.88,5,2,0.4,33.07,below_market
B08N5WRWNW,2026-02-25,29.94,USD,29.890000000000004,0.11661903789691275,-0.015131578947368385,33.67,32.982,29.2,34.73,5,1,0.2,33.67,below_market
B08N5WRWNW,2026-02-26,29.92,USD,29.86285714285714,0.06945365018349604,-0.006310195948189934,31.86,29.636000000000003,24.4,33.58,5,2,0.4,31.86,below_market
B08N5WRWNW,2026-02-27,29.7,USD,29.83857142857143,0.09245333443214085,-0.005691329092735287,28.7,27.766000000000002,24.5,29.37,5,5,1.0,28.7,at_market
B08N5WRWNW,2026-02-28,29.66,USD,29.802857142857142,0.10734900802435164,-0.008358408559010377,29.0,28.386000000000003,25.81,30.02,5,3,0.6,29.0,at_market
B08N5WRWNW,2026-03-01,29.65,USD,29.775714285714287,0.11970201096295184,-0.00636729222520116,34.05,32.878,25.7,35.63,5,1,0.2,34.05,below_market
B08N5WRWNW,2026-03-02,29.66,USD,29.764285714285716,0.12726051271011538,-0.0026899798251512896,30.76,29.722,24.7,35.14,5,2,0.4,30.76,at_market
B08N5WRWNW,2026-03-03,29.53,USD,29.722857142857144,0.15107550934487454,-0.009725016767270223,31.94,30.708,25.42,35.23,5,2,0.4,31.94,below_market
B08N5WRWNW,2026-03-04,29.32,USD,29.634285714285713,0.18127852813256493,-0.020708082832331387,29.78,30.984,25.24,35.99,5,1,0.2,29.78,at_market
B08N5WRWNW,2026-03-05,29.3,USD,29.545714285714286,0.16949504838955076,-0.020721925133689867,28.25,28.137999999999998,26.27,29.42,5,4,0.8,28.25,at_market
B08N5WRWNW,2026-03-06,29.22,USD,29.477142857142855,0.19224240650061616,-0.016161616161616155,31.83,30.45,25.12,35.39,5,2,0.4,31.83,below_market
B08N5WRWNW,2026-03-07,29.19,USD,29.41,0.19966638842497306,-0.015846257585974355,27.55,27.636000000000003,24.72,30.44,5,4,0.8,27.55,above_market
B08N5WRWNW,2026-03-08,29.14,USD,29.337142857142858,0.19032553565881755,-0.01720067453625629,30.4,30.274,28.14,33.25,5,2,0.4,30.4,at_market
B08N5WRWNW,2026-03-09,29.31,USD,29.287142857142857,0.12671678206595077,-0.011800404585300073,29.49,30.387999999999998,25.11,35.83,5,2,0.4,29.49,at_market
B08N5WRWNW,2026-03-10,29.6,USD,29.297142857142855,0.14974581638168202,0.002370470707754757,33.04,32.888,31.34,34.42,5,0,0.0,33.04,below_market
B08N5WRWNW,2026-03-11,29.76,USD,29.360000000000003,0.23115651263449194,0.01500682128240105,29.03,29.508,26.25,32.43,5,3,0.6,29.03,at_market
B08N5WRWNW,2026-03-12,29.81,USD,29.43285714285715,0.28353214313456987,0.017406143344709912,31.32,30.927999999999997,27.5,35.65,5,2,0.4,31.32,at_market
B08N5WRWNW,2026-03-13,29.25,USD,29.437142857142856,0.2799829926807736,0.0010266940451746365,32.74,32.13,29.65,35.37,5,0,0.0,32.74,below_market
B08N5WRWNW,2026-03-14,29.11,USD,29.425714285714285,0.29307889397778936,-0.0027406646111682864,28.61,30.082,24.94,35.93,5,3,0.6,28.61,at_market
B08N5WRWNW,2026-03-15,29.14,USD,29.42571428571429,0.29307889397778936,0.0,24.96,27.598000000000003,24.38,35.02,5,4,0.8,24.96,above_market
B08N5WRWNW,2026-03-16,28.96,USD,29.375714285714285,0.34189945612013545,-0.01194131695667,29.97,29.798000000000002,25.65,33.91,5,2,0.4,29.97,at_market
B08N5WRWNW,2026-03-17,29.18,USD,29.315714285714286,0.3327089390071215,-0.01418918918918921,26.04,27.169999999999998,24.82,32.72,5,4,0.8,26.04,above_market
B08N5WRWNW,2026-03-18,29.15,USD,29.228571428571428,0.2711351797799244,-0.02049731182795711,26.81,28.112000000000002,24.28,34.23,5,3,0.6,26.81,above_market
B08N5WRWNW,2026-03-19,29.25,USD,29.148571428571433,0.098898697569578,-0.018785642401878522,29.72,29.74,24.61,34.62,5,2,0.4,29.72,at_market
B08N5WRWNW,2026-03-20,29.32,USD,29.15857142857143,0.1133473380703114,0.0023931623931623403,27.91,28.472,27.0,30.25,5,3,0.6,27.91,above_market
B08N5WRWNW,2026-03-21,29.27,USD,29.181428571428572,0.11795883059055774,0.005496392992099031,26.84,28.644,24.1,34.16,5,3,0.6,26.84,above_market
B08N5WRWNW,2026-03-22,29.41,USD,29.22,0.1435270009440931,0.009265614275909329,28.3,28.286,24.12,33.06,5,3,0.6,28.3,at_market
B08N5WRWNW,2026-03-23,29.32,USD,29.271428571428572,0.08896227129683047,0.012430939226519389,33.03,32.606,30.65,34.7,5,0,0.0,33.03,below_market
B08N5WRWNW,2026-03-24,29.39,USD,29.301428571428573,0.08839844859662714,0.0071967100753942415,32.17,32.489999999999995,28.99,35.68,5,1,0.2,32.17,below_market
B08N5WRWNW,2026-03-25,29.38,USD,29.334285714285716,0.06133436852131924,0.007890222984562545,26.37,29.068,25.15,35.17,5,3,0.6,26.37,above_market
B08N5WRWNW,2026-03-26,29.28,USD,29.33857142857143,0.05520524474742598,0.0010256410256410664,32.61,31.7,27.86,33.93,5,1,0.2,32.61,below_market
B08N5WRWNW,2026-03-27,29.14,USD,29.312857142857144,0.09375753937940454,-0.0061391541609822076,30.46,30.363999999999997,25.92,35.96,5,2,0.4,30.46,at_market
B08N5WRWNW,2026-03-28,29.08,USD,29.285714285714285,0.12908100077823106,-0.006491288008199536,31.88,32.136,31.01,33.47,5,0,0.0,31.88,below_market
B08N5WRWNW,2026-03-29,29.31,USD,29.27142857142857,0.11810003830492244,-0.0034002040122408372,31.1,30.619999999999997,25.08,34.46,5,1,0.2,31.1,below_market
B08N5WRWNW,2026-03-30,29.38,USD,29.28,0.12423096769058119,0.0020463847203273655,30.23,30.932,28.05,34.36,5,2,0.4,30.23,at_market
