asin,scrape_date,price,currency,rating,stock,source,parent_asin
B0FY52GZFG,2026-02-12,50.07,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-13,49.58,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-14,49.57,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-15,49.59,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-16,49.68,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-17,49.64,USD,4.5,in_stock,product,
B0FY52GZFG,2026-02-18,49.53,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-19,49.63,USD,4.5,low_stock,product,
B0FY52GZFG,2026-02-20,49.5,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-21,49.48,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-22,49.66,USD,4.3,in_stock,product,
B0FY52GZFG,2026-02-23,49.5,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-24,49.71,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-25,49.79,USD,4.3,in_stock,product,
B0FY52GZFG,2026-02-26,49.67,USD,4.4,in_stock,product,
B0FY52GZFG,2026-02-27,49.45,USD,4.3,in_stock,product,
B0FY52GZFG,2026-02-28,49.49,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-01,49.41,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-02,49.09,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-03,49.12,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-04,49.28,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-05,49.19,USD,4.3,in_stock,product,
B0FY52GZFG,2026-03-06,49.07,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-07,49.24,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-08,48.81,USD,4.3,low_stock,product,
B0FY52GZFG,2026-03-09,48.91,USD,4.4,low_stock,product,
B0FY52GZFG,2026-03-10,48.83,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-11,48.59,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-12,48.7,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-13,48.72,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-14,49.12,USD,4.3,in_stock,product,
B0FY52GZFG,2026-03-15,49.17,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-16,49.54,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-17,49.44,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-18,49.07,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-19,49.57,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-20,49.04,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-21,51.49,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-22,51.24,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-23,51.31,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-24,51.18,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-25,51.71,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-26,51.95,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-27,51.78,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-28,51.46,USD,4.5,in_stock,product,
B0FY52GZFG,2026-03-29,51.43,USD,4.5,in_stock,product,
B0FY52GZFG,2026-03-30,51.33,USD,4.4,in_stock,product,
B0FY52GZFG,2026-03-31,51.38,USD,4.3,in_stock,product,
B0FY52GZFG,2026-04-01,51.81,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-02,51.53,USD,4.4,low_stock,product,
B0FY52GZFG,2026-04-03,51.53,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-04,51.55,USD,4.3,in_stock,product,
B0FY52GZFG,2026-04-05,51.34,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-06,51.57,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-07,51.69,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-08,51.83,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-09,51.77,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-10,51.79,USD,4.5,in_stock,product,
B0FY52GZFG,2026-04-11,51.58,USD,4.3,in_stock,product,
B0FY52GZFG,2026-04-12,51.66,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-13,51.12,USD,4.3,in_stock,product,
B0FY52GZFG,2026-04-14,51.67,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-15,51.23,USD,4.5,in_stock,product,
B0FY52GZFG,2026-04-16,50.96,USD,4.5,in_stock,product,
B0FY52GZFG,2026-04-17,50.87,USD,4.5,in_stock,product,
B0FY52GZFG,2026-04-18,50.81,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-19,50.77,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-20,50.83,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-21,50.87,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-22,48.14,USD,4.5,in_stock,product,
B0FY52GZFG,2026-04-23,48.54,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-24,48.6,USD,4.5,in_stock,product,
B0FY52GZFG,2026-04-25,48.72,USD,4.4,in_stock,product,
B0FY52GZFG,2026-04-26,48.44,USD,4.4,in_stock,product,
